EventName,EventPageUrl,TextFileName,ImgUrl,SocietyUrl
15th International Supply Chain Camp,https://kampusetkinlikleri.com/etkinlik/1469/15th-international-supply-chain-camp,1066973852964772540,img/Etkinlik/Big/15th-international-supply-chain-camp-20191229-193226.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/133/kalite-ve-verimlilik-kulubu
Başarı Hikayeleri,https://kampusetkinlikleri.com/etkinlik/1518/basari-hikayeleri,4001362398908457123,img/Etkinlik/Big/basari-hikayeleri-20200518-170805.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/511/is-dunyasinda-kadin
Beton Kano Yarışması,https://kampusetkinlikleri.com/etkinlik/1484/beton-kano-yarismasi,2831606694255924706,img/Etkinlik/Big/beton-kano-yarismasi-20200205-171155.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/274/muhendislige-hazirlik-kulubu
Sanal Kariyer Panayırı,https://kampusetkinlikleri.com/etkinlik/1517/sanal-kariyer-panayiri,-7100958915826651381,img/Etkinlik/Big/sanal-kariyer-panayiri-20200414-185134.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/354/yildiz-isletme-kulubu
Cem Öğretir Semineri Kayseri,https://kampusetkinlikleri.com/etkinlik/1504/cem-ogretir-semineri-kayseri,-3700118887463696233,img/Etkinlik/Big/cem-ogretir-semineri-kayseri-20200301-233728.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/183/kayseri-student-life
Sürdürülebilir Ekosistem Günleri,https://kampusetkinlikleri.com/etkinlik/1470/surdurulebilir-ekosistem-gunleri,3843150383184462701,img/Etkinlik/Big/surdurulebilir-ekosistem-gunleri20200212-210901.jpeg,https://kampusetkinlikleri.com/kulup-sayfasi/67/cevre-muhendisligi-kulubu
15. Ulusal Profesyoneller ve Başarılı Yöneticilerle Sektörler Kongresi,https://kampusetkinlikleri.com/etkinlik/1496/15.-ulusal-profesyoneller-ve-basarili-yoneticilerle-sektorler-kongresi,1234367216518154101,img/Etkinlik/Big/15.-ulusal-profesyoneller-ve-basarili-yoneticilerle-sektorler-kongresi-20200220-160508.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/407/uludag-universitesi-isletme-toplulugu
Young Summit,https://kampusetkinlikleri.com/etkinlik/1482/young-summit,4490314123146520128,img/Etkinlik/Big/young-summit-20200204-111340.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/451/bigenc
Career Lab,https://kampusetkinlikleri.com/etkinlik/1490/career-lab,3348654544069479134,img/Etkinlik/Big/career-lab-20200213-190451.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/470/aiche
AtölyeMİZ,https://kampusetkinlikleri.com/etkinlik/1503/atolyemiz,5665905358577991981,img/Etkinlik/Big/atolyemiz-20200301-220344.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/507/ieee-beykent
