Etkinlik Adı,Düzenleyen Grup,SPONSOR-1,SPONSOR-2,SPONSOR-3,SPONSOR-4,SPONSOR-5,SPONSOR-6,SPONSOR-7,SPONSOR-8,SPONSOR-9,SPONSOR-10,SPONSOR-11,SPONSOR-12,SPONSOR-13,SPONSOR-14,SPONSOR-15,SPONSOR-16,SPONSOR-17,SPONSOR-18,SPONSOR-19,SPONSOR-20,SPONSOR-21,SPONSOR-22,SPONSOR-23,SPONSOR-24,SPONSOR-25,SPONSOR-26,SPONSOR-27,SPONSOR-28,SPONSOR-29,SPONSOR-30,SPONSOR-31,SPONSOR-32,SPONSOR-33,SPONSOR-34,SPONSOR-35,SPONSOR-36,SPONSOR-37,SPONSOR-38,SPONSOR-39,SPONSOR-40,SPONSOR-41,SPONSOR-42,SPONSOR-43,SPONSOR-44,SPONSOR-45,SPONSOR-46,SPONSOR-47,SPONSOR-48,SPONSOR-49
Girişimcilik 5N1K,Ankara Hacı Bayram Veli Üniversitesi Girişimci Liderler Topluluğu,D&R,İşkur,Kosgeb,Mondelez International,Sinerji Eğitim & Organizasyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akademi Kariyer Günleri,Ankara Hacı Bayram Veli Üniversitesi Kariyer Yönlendirme Topluluğu,Unilever,Migros,LTB,Altınyıldız Classics,Albaraka,Coca Cola,Uludağ,Nestle,Çaykur,Makro Market,Dimes,Patos,Nescafe,Yayla Bakliyat,n11.com,obilet.com,kariyer.net,webtekno.com,anlatsin.com,youthall.com,ogrencikariyeri.com,uniaktivite.com,kampusetkinlikleri.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Kişisel Gelişim Zirvesi,Ankara Hacı Bayram Veli Üniversitesi Kariyer Yönlendirme Topluluğu,Coca Cola,Ankara Makarna,Nescafe,Yayla Bakliyat,Doğuş Çay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mülkiye Ekonomi Kongresi,Ankara Üniversitesi Mülkiye Maliye Topluluğu,Kocatepe Kahve Evi,If Performance,Data Akademi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankara Startup Zirvesi,Bilkent Üniversitesi Young Entrepreneurs Society,Odtü Teknokent,Workinlot,Scalex Startup,MacFit Spor Salonu,connected2.me,webtekno.com,If Performance,6:45 Kaybedenler Kulübü,,Hmbrgr,Karikatur Kafe Mahall,Ankara Makarna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hackathor,Bilkent Üniversitesi Young Entrepreneurs Society,Türkiye Siber Güvenlik Kümelenmesi,Bilkent Cyberpark Teknokent,Bitss Bilişim Hizmetleri ,savunmasanayiidergilik.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gençlik Ekonomi Forumu,BUÜ İktisat Topluluğu,Kuru Kahveci Mehmet Efendi,Uludağ,Aşgana,Lebon,British Town Language School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MarkaFest,BUÜ İnsan Kaynakları Topluluğu,Ayakkabı Dünyası,Aytemiz,Eti,Hobby Kozmetik,Kotex,obilet.com,Suwen,Uniball Pencil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR Summit,BUÜ İnsan Kaynakları Topluluğu,Peak Games,British Town Language School,Hürriyet Gazetesi,Eker,Subway,Ankara Makarna,youthall.com,kariyer.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Career Goals,BUÜ İnsan Kaynakları Topluluğu,Ikea,Garanti BBVA,British Town Language School,Türkiye İş Bankası,Pamukkale Turizm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
