Etkinlik Adı,Düzenleyen Grup,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19
Girişimcilik 5N1K,Ankara Hacı Bayram Veli Üniversitesi Girişimci Liderler Topluluğu,Kitap-Kırtasiye,Kariyer Planlama,Gıda,Danışmanlık,,,,,,,,,,,,,,,
Akademi Kariyer Günleri,Ankara Hacı Bayram Veli Üniversitesi Kariyer Yönlendirme Topluluğu,Gıda,Market,Giyim,Banka-Sigorta,İçecek,Online Alışveriş,Kariyer Planlama,Medya,,,,,,,,,,,
Kişisel Gelişim Zirvesi,Ankara Hacı Bayram Veli Üniversitesi Kariyer Yönlendirme Topluluğu,İçecek,Gıda,,,,,,,,,,,,,,,,,
Mülkiye Ekonomi Kongresi,Ankara Üniversitesi Mülkiye Maliye Topluluğu,Ankara Yerel,Organizasyon,,,,,,,,,,,,,,,,,
Ankara Startup Zirvesi,Bilkent Üniversitesi Young Entrepreneurs Society,Ankara Yerel,Danışmanlık,Holding,Organizasyon,Teknoloji-2,Medya,Yemek,Gıda,,,,,,,,,,,
Hackathor,Bilkent Üniversitesi Young Entrepreneurs Society,Kar Amacı Gütmeyen Kuruluşlar,Ankara Yerel,Medya,,,,,,,,,,,,,,,,
Gençlik Ekonomi Forumu,BUÜ İktisat Topluluğu,İçecek,Bursa Yerel,Eğitim,,,,,,,,,,,,,,,,
MarkaFest,BUÜ İnsan Kaynakları Topluluğu,Giyim,Petrol,Gıda,Temizlik-Bakım,Online Alışveriş,Kitap-Kırtasiye,,,,,,,,,,,,,
HR Summit,BUÜ İnsan Kaynakları Topluluğu,Teknoloji-1,Eğitim,Medya,Gıda,Yemek,Kariyer Planlama,,,,,,,,,,,,,
Career Goals,BUÜ İnsan Kaynakları Topluluğu,Mobilya-Ev,Banka-Sigorta,Eğitim,Seyahat-Tatil,,,,,,,,,,,,,,,
Digital Steps,BUÜ İnsan Kaynakları Topluluğu,Market,Gıda,Banka-Sigorta,Eğitim,,,,,,,,,,,,,,,
IWD Antalya,Code Club,Teknoloji-1,Teknoloji-2,Antalya Yerel,Kitap-Kırtasiye,,,,,,,,,,,,,,,
MEP (Mühendislik Eğitim Programı),Dokuz Eylül Üniversitesi Endüstri Mühendisleri Topluluğu,Eğitim,,,,,,,,,,,,,,,,,,
Gelişim Platformu,Dokuz Eylül Üniversitesi Endüstri Mühendisleri Topluluğu,Teknoloji-2,Temizlik-Bakım,Gıda,Teknoloji-1,İçecek,Kariyer Planlama,Banka-Sigorta,Eğitim,Yemek,,,,,,,,,,
Dünya Kadınlar Günü,Düzce Üniversitesi İş Dünyasında Kadın Topluluğu,Düzce Yerel,Medya,,,,,,,,,,,,,,,,,
ICEO Sektör Günleri,Endüstri Bilimleri ve Teknoloji Topluluğu,Banka-Sigorta,Gıda,İçecek,Temizlik-Bakım,Mobilya-Ev,Balıkesir Yerel,Giyim,Eğitim,,,,,,,,,,,
IDEA (Industrial Engineering Assemblage),Endüstri Mühendisliği Mükemmellik Topluluğu OMÜ,Mobilya-Ev,Holding,Eğitim,Medya,Gıda,Banka-Sigorta,Otomobil,,,,,,,,,,,,
